title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition,recipe_url
Pineapple and Banana Smoothie,"A gorgeous indulgent pineapple smoothie with banana — simple, easy, and delicious!",5 mins,,5 mins,1,"['4  ice cubes', '¼  fresh pineapple - peeled, cored and cubed', '1 large banana, cut into chunks', '1 cup pineapple or apple juice']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Place ice cubes, pineapple, banana, and pineapple juice into the container of a blender.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Purée on high until smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Enjoy!\n\n \n\n\n\n\n\n \n DOTDASH MEREDITH FOOD STUDIOS']","{'Calories': '313', 'Fat': '1g', 'Carbs': '79g', 'Protein': '3g'}",https://www.allrecipes.com/recipe/138159/pineapple-and-banana-smoothie/
Frozen Fruit Smoothie,"This frozen fruit smoothie is fast, simple, nutritious, and tasty with extra protein from the Greek yogurt. It’s a great on-the-go breakfast or afternoon snack. I always include a banana, but choose your favorite frozen fruits such as strawberries, cherries, pineapple, raspberries, and blueberries.",10 mins,,10 mins,3,"['9 ounces pineapple juice', '2 cups assorted frozen fruit\xa0(your choice)', '1 frozen banana, cut into chunks', '1 cup vanilla Greek yogurt (such as Cabot® 2%)']","['Add juice, frozen fruit, frozen banana, and yogurt to the jar of a blender, and process until smooth. If too thick, add a little more pineapple juice until you reach your desired consistency.', 'Pour into glasses and serve.\n\n Cook’s Note\nI raid the freezer when I want to make smoothies, since I always keep frozen fruit on hand. To make this even easier, you can buy a bag of frozen assorted fruit at the grocery store. If you have smoothie leftovers (or intentionally make more than you know you’ll need), fill popsicle molds for the next day. The kids will love them, and it’s a great way to get them to eat their fruit. You will need a high-powered blender because of the frozen fruit. Otherwise, let the frozen fruit thaw just a bit and add some extra juice and yogurt to your blender.']","{'Calories': '213', 'Fat': '2g', 'Carbs': '42g', 'Protein': '8g'}",https://www.allrecipes.com/frozen-fruit-smoothie-recipe-8624320
Apple Smoothie,"This apple smoothie works well with any kind of apple—sweet, tart, or anything in between. With warm pie spices, Greek yogurt, banana, and almond butter, it's a great way to begin your day or liven up the afternoon.",5 mins,0 mins,5 mins,1,"['1 small banana, peeled and frozen', '1 large Fuji apple, cored and sliced', '3/4 cup whole milk plain Greek yogurt', '1/4 cup unsweetened apple juice', '3 tablespoons rolled oats', '1 tablespoon almond butter', '2 teaspoons maple syrup, or to taste', '1 pinch ground cinnamon', '1 pinch ground nutmeg', '1 pinch ground cloves']","['Place banana, apple, yogurt, apple juice, oats, almond butter, maple syrup, cinnamon, nutmeg, and cloves into the cup of a high speed blender, and blend until smooth. If desired, add ice for a thicker smoothie, or add milk for a thinner consistency.']","{'Calories': '623', 'Fat': '19g', 'Carbs': '95g', 'Protein': '22g'}",https://www.allrecipes.com/apple-smoothie-recipe-7568869
"Apple, Strawberry, and Banana Smoothie","Start your day off right with this quick and nutritious apple smoothie, ready in minutes. This breakfast smoothie has a nice combination of fruit and is slightly sweet, creamy, and satisfying.",5 mins,0 mins,5 mins,2,"['3/4 cup vanilla almond milk', '1 apple - peeled, cored, and cubed', '1 cup halved frozen strawberries', '1 frozen banana, peeled and cubed', '1/4 cup vanilla Greek yogurt (such as Cabot® 2% lowfat vanilla Greek yogurt)']","['Place almond milk, apple, strawberries, banana, and yogurt in a blender, being sure the milk goes in first. Process until smooth, occasionally scraping down the sides of the blender with a rubber spatula, if necessary.', 'Pour into serving glasses and serve immediately.']","{'Calories': '561', 'Fat': '3g', 'Carbs': '137g', 'Protein': '9g'}",https://www.allrecipes.com/apple-strawberry-and-banana-smoothie-recipe-7568897
2-Ingredient Frozen Fruit Smoothie,"This frozen fruit smoothie has two ingredients and is both refreshing and hydrating. It’s a great way to get a tropical chill on a sultry summer day, without any added sweetener.",5 mins,0 mins,5 mins,1,"['9 ounces frozen mixed fruit (strawberries, peaches, pineapple, and mango)', '8 ounces coconut water', '1 blackberry (optional)', '1 strawberry (optional)']","['Pour coconut water into a Vitamix blender. Add frozen fruit. Slowly turn the blender to Variable 10, then to High 10. Blend for 45 seconds.', 'Pour smoothie into glass; garnish with strawberry and blackberry if desired.']","{'Calories': '161', 'Fat': '1g', 'Carbs': '38g', 'Protein': '3g'}",https://www.allrecipes.com/2-ingredient-frozen-fruit-smoothie-recipe-7497358
Recharge-Style Strawberry Mango Smoothie,If you can't get to a Recharge Smoothie Cafe - try this copy cat strawberry-mango smoothie at home.,10 mins,,10 mins,1,"['1  banana - peeled, sliced, and frozen', '½ cup frozen mango cubes', '½ cup frozen sliced strawberries', '⅓ cup orange pineapple apple juice blend (such as Welch’s®)', '⅓ cup unsweetened coconut water', 'strawberry for garnish']","['Add banana, mango, strawberries, juice, and coconut water to a blender. Blend until smooth, stopping to scrape sides as needed. Pour into a glass; garnish with fresh strawberry.']","{'Calories': '254', 'Fat': '1g', 'Carbs': '64g', 'Protein': '3g'}",https://www.allrecipes.com/recipe/8536123/recharge-style-strawberry-mango-smoothie/
Avocado Smoothie,"This avocado smoothie is thick, creamy, and delicious. Makes a great breakfast smoothie.",5 mins,,5 mins,2,"['1  ripe avocado, halved and pitted', '1 cup milk', '½ cup vanilla yogurt', '3 tablespoons honey', '8  ice cubes']","['Gather the ingredients.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai', 'Scoop avocado flesh into a blender; add milk, yogurt, honey, and ice cubes. Blend ingredients until smooth.\n\n \n\n\n\n\n\n \n Allrecipes / Qi Ai']","{'Calories': '370', 'Fat': '18g', 'Carbs': '49g', 'Protein': '9g'}",https://www.allrecipes.com/recipe/199931/avocado-smoothie/
Easy Mango Banana Smoothie,"This mango banana smoothie is great for kids. As a babysitter, I always look for quick, easy, healthy, and delicious recipes.",10 mins,,10 mins,8,"['2  mangos - peeled, seeded, and sliced', '2  bananas', '2 cups vanilla yogurt', '2 cups milk']","['Combine mangos, banana, vanilla yogurt, and milk in a blender; blend until smooth.']","{'Calories': '133', 'Fat': '2g', 'Carbs': '24g', 'Protein': '6g'}",https://www.allrecipes.com/recipe/231851/easy-mango-banana-smoothie/
Strawberry Banana Protein Smoothie,This strawberry-banana protein smoothie with almonds and protein powder is great for a meal replacement or after a workout.,10 mins,,10 mins,1,"['1 ¼ cups sliced fresh strawberries', '1  banana', '10  whole almonds', '2 tablespoons water', '1 cup ice cubes', '3 tablespoons chocolate flavored protein powder']","['Place strawberries, banana, almonds, and water into a blender; blend to combine. Add ice cubes and puree until smooth. Add protein powder and mix until evenly incorporated, about 30 seconds.']","{'Calories': '349', 'Fat': '8g', 'Carbs': '53g', 'Protein': '21g'}",https://www.allrecipes.com/recipe/160708/strawberry-banana-protein-smoothie/
Pineapple Cleanser Smoothie,"An energizing cucumber and pineapple smoothie with coconut water, ginger, and lemon.",10 mins,,10 mins,1,"['1 cup coconut water, or to taste', '1 cup chopped fresh pineapple', '1 stalk celery', '½  cucumber, peeled', '½  lemon, peeled', '⅓ bunch fresh parsley', '1 (1 inch) piece fresh ginger root']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Blend coconut water, pineapple, celery, cucumber, lemon, parsley, and ginger together in a blender until smooth.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '169', 'Fat': '1g', 'Carbs': '43g', 'Protein': '5g'}",https://www.allrecipes.com/recipe/236413/pineapple-cleanser-smoothie/
Best Smoothies for Pre & Post Workouts,,,,,,[],[],,https://www.allrecipes.com/article/best-smoothies-pre-post-workouts/
Spinach and Kale Smoothie,This versatile kale and spinach smoothie is a delicious way to add more veggies to your diet! Chia seeds are optional but will give you added protein and energy.,10 mins,,10 mins,1,"['2 cups fresh spinach', '1 cup almond milk', '1 leaf kale', '1 tablespoon peanut butter', '1 tablespoon chia seeds (Optional)', '1  sliced frozen banana']","['Combine spinach, almond milk, kale, peanut butter, and chia seeds in a blender; blend until smooth. Add banana and blend until smooth.']","{'Calories': '325', 'Fat': '14g', 'Carbs': '46g', 'Protein': '10g'}",https://www.allrecipes.com/recipe/236951/spinach-and-kale-smoothie/
